trilha,nome_do_curso,data_do_curso,ministrante
Trilha Quali,Abordagens e métodos qualitativos: Uma introdução,7 a 10 de abril,Monise Picanço e Jaciane Milanezi
Trilha Quali,Entrevistas em profundidade,5 a 8 de maio,Jaciane Milanezi
Trilha Quali,"Desenho, condução e análise de grupos focais",23 a 26 de junho,Alexandre Abdal
Trilha Quali,Análise Documental,4 a 7 de agosto,Beatriz Sanchez
Trilha Quali,Etnografia,11 a 14 de agosto,Jaciane Milanezi
Trilha Quali,Mapeamentos socioculturais,25 a 28 de agosto,Ana Paula do Val
Trilha Quali,Dados qualitativos: Estratégias e metodologias de análise,22 a 25 de setembro,Monise Picanço
Trilha Quali,Análise de dados qualitativos utilizando Atlas.ti,27 a 30 de outubro,Monise Picanço
Trilha Quali,Estudos de caso em Políticas Públicas,1 a 4 de dezembro,Alexandre Abdal
Trilha Quanti,"Introdução à análise de dados quantitativos: ferramentas, procedimentos e aplicações",12 a 15 de maio,Victor Callil
Trilha Quanti,"Design de questionários e formulários online: fundamentos, construção e utilização",26 a 29 de maio,Monise Picanço e Victor Callil
Trilha Quanti,Introdução à linguagem de programação R,18 a 21 de agosto,Beatriz Milz
Trilha Quanti,Visualização de dados no R,8 a 11 de setembro,Beatriz Milz
Trilha Quanti,Introdução à análise de regressão para pesquisas sociais,15 a 18 de setembro,Thiago Almeida
Trilha Quanti,Raspagem de dados com R,29 de setembro a 2 de outubro,Beatriz Milz
Trilha Quanti,PNAD Contínua,6 a 9 de outubro,Thiago Almeida
Trilha Quanti,Indicadores sociais e territoriais: como construir e utilizar?,3 a 6 de novembro,Tomás Wissenbach
Trilha Quanti,Análise quantitativa de texto com R,10 a 13 de novembro,Beatriz Milz
Especiais,"Acesso e introdução à análise de dados sociais, demográficos e ocupacionais",14 a 17 de julho,Jonas Bicev
Especiais,Laboratório de desenho de pesquisa,28 a 31 de julho,Monise Picanço e Victor Callil
